monthday,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,average
2021-03-23,4203.3,4201.5,4199.48,4197.77,4196.22,4195.5,4196.9,4197.53,4196,4195.2,4195.48,4195.66,4198.55,4196.95,4195.13,4194.1,4193.84,4194.4,4194.7,4193.6,4196.5905
2021-03-24,4203.3,4201.5,4199.54,4197.76,4196.2,4195.59,4196.91,4197.52,4196.01,4195.18,4195.4,4195.7,4198.62,4196.9,4195.13,4194.03,4193.75,4194.3,4194.7,4193.7,4196.587
2021-03-25,4203.3,4201.5,4199.54,4197.74,4196.21,4195.83,4196.85,4197.47,4196.02,4195.13,4195.39,4195.72,4198.62,4196.9,4195.13,4194.08,4193.83,4194.4,4194.7,4193.7,4196.603
2021-03-26,4203.3,4201.5,4199.54,4197.81,4196.24,4195.78,4197.07,4197.48,4196.11,4195.43,4195.43,4195.71,4198.47,4196.9,4195.15,4194.01,4193.84,4194.3,4194.7,4193.7,4196.6235
2021-03-27,4203.3,4201.5,4199.55,4197.89,4196.23,4195.65,4196.94,4197.22,4196.13,4195.16,4195.37,4195.84,4198.62,4196.91,4195.18,4194.01,4193.74,4194.5,4194.7,4193.7,4196.607
2021-03-28,4203.4,4201.5,4199.56,4197.82,4196.32,4195.7,4196.91,4197.6,4196.02,4195.12,4195.3,4195.95,4198.62,4196.91,4195.1,4194.03,4193.92,4194.6,4194.7,4193.8,4196.644
2021-03-29,4203.4,4201.5,4199.58,4197.8,4196.26,4195.75,4196.95,4197.84,4196.12,4195.32,4195.29,4195.86,4198.65,4196.91,4195.08,4194.04,4193.81,4194.5,4194.7,4193.8,4196.658
2021-03-30,4203.5,4201.5,4199.57,4197.7,4196.24,4195.94,4197.04,4197.54,4196.02,4195.26,4195.24,4195.88,4198.64,4196.9,4195.28,4194,4193.88,4194.6,4194.7,4193.8,4196.6615
2021-03-31,4203.5,4201.5,4199.56,4197.7,4196.17,4195.81,4197.04,4197.54,4196.13,4195.14,4195.36,4195.9,4198.51,4196.88,4195.13,4194.02,4193.86,4194.7,4194.7,4193.8,4196.6475
2021-04-01,4203.4,4201.5,4199.56,4197.61,4196.25,4195.77,4197.07,4197.56,4196,4195.37,4195.38,4195.91,4198.79,4196.89,4195.13,4194.12,4193.91,4194.6,4194.7,4193.8,4196.666
2021-04-02,4203.3,4201.5,4199.6,4197.6,4196.31,4195.8,4197.04,4197.63,4196,4195.14,4195.31,4195.97,4198.84,4196.9,4195.16,4194.12,4193.9,4194.6,4194.9,4193.8,4196.671
2021-04-03,4203.4,4201.5,4199.58,4197.6,4196.19,4195.78,4197.08,4197.62,4196.06,4195.31,4195.36,4196.1,4198.68,4196.91,4195.15,4193.98,4193.9,4194.7,4194.7,4193.9,4196.675
2021-04-04,4203.3,4201.5,4199.59,4197.7,4196.26,4195.86,4197.05,4197.58,4196.03,4195.39,4195.28,4195.96,4198.69,4196.89,4195.14,4193.96,4193.91,4194.7,4194.7,4193.9,4196.6695
2021-04-05,4203.3,4201.5,4199.58,4197.6,4196.26,4195.89,4196.92,4197.6,4196.1,4195.2,4195.35,4196.04,4198.76,4196.94,4195.18,4194,4194,4194.6,4194.7,4193.9,4196.671
2021-04-06,4203.3,4201.4,4199.58,4197.6,4196.26,4195.84,4197.21,4197.6,4196.03,4195.2,4195.51,4195.99,4198.75,4196.94,4195.16,4194.09,4193.92,4194.6,4194.8,4193.9,4196.684
2021-04-07,4203.4,4201.3,4199.58,4197.7,4196.29,4195.84,4197.21,4197.62,4196.06,4195.2,4195.37,4196.04,4198.66,4196.92,4195.15,4193.95,4193.92,4194.6,4194.8,4193.9,4196.6755
2021-04-08,4203.3,4201.5,4199.55,4197.6,4196.26,4195.89,4197.27,4197.67,4196.02,4195.14,4195.31,4196.12,4198.65,4197.2,4195.15,4193.91,4193.94,4194.8,4194.9,4193.9,4196.704
2021-04-09,4203.4,4201.6,4199.52,4197.7,4196.38,4196.02,4197.33,4197.62,4196.15,4195.2,4195.47,4196.16,4198.66,4197.15,4195.15,4193.94,4193.89,4194.8,4194.8,4194,4196.747
2021-04-10,4203.4,4201.7,4199.59,4197.6,4196.3,4196.15,4197.38,4197.93,4196.09,4195.18,4195.34,4196.24,4198.66,4196.92,4195.15,4193.92,4193.91,4194.8,4194.8,4194.5,4196.778
2021-04-11,4203.3,4201.5,4199.53,4197.7,4196.24,4195.92,4197.36,4197.74,4196.09,4195.24,4195.27,4196.22,4198.54,4196.93,4195.14,4193.94,4193.91,4194.8,4194.8,4194.1,4196.7135
2021-04-12,4203.3,4201.6,4199.55,4197.7,4196.24,4195.87,4197.4,4197.62,4196,4195.24,4195.3,4196.31,4198.66,4196.94,4195.18,4194.01,4193.92,4194.8,4195.2,4194,4196.742
2021-04-13,4203.3,4201.5,4199.51,4197.7,4196.23,4195.8,4197.4,4197.74,4196,4195.21,4195.28,4196.45,4198.63,4197.01,4195.42,4193.91,4194,4194.8,4195,4194,4196.7445
2021-04-14,4203.4,4201.5,4199.57,4197.7,4196.22,4195.98,4197.45,4197.57,4195.93,4195.26,4195.3,4196.44,4198.66,4197,4195.18,4193.89,4194.05,4194.9,4194.8,4194,4196.74
2021-04-15,4203.4,4201.5,4199.75,4197.76,4196.21,4195.92,4197.51,4197.6,4196.08,4195.17,4195.32,4196.34,4198.75,4196.91,4195.16,4194.08,4194.16,4194.9,4194.8,4194.1,4196.771
2021-04-16,4203.3,4201.5,4199.57,4197.69,4196.26,4195.9,4197.43,4197.67,4196.04,4195.35,4195.33,4196.35,4198.67,4197.01,4195.14,4193.99,4194.32,4194.9,4194.9,4194.2,4196.776
2021-04-17,4203.3,4201.5,4199.57,4197.7,4196.23,4195.91,4197.77,4197.55,4195.95,4195.39,4195.33,4196.4,4198.62,4197.05,4195.1,4193.91,4194.11,4194.9,4195,4194.2,4196.7745
2021-04-18,4203.2,4201.4,4199.61,4197.7,4196.24,4196.02,4197.69,4197.56,4195.96,4195.4,4195.34,4196.44,4198.66,4196.92,4195.1,4193.9,4194.01,4195,4194.8,4194.2,4196.7575
2021-04-19,4203.3,4201.5,4199.64,4197.77,4196.21,4195.99,4197.63,4197.55,4195.87,4195.4,4195.33,4196.55,4198.66,4196.84,4195.1,4193.9,4194,4195,4194.8,4194.2,4196.762
2021-04-20,4203.3,4201.5,4199.67,4197.72,4196.21,4195.91,4197.65,4197.55,4196.1,4195.41,4195.29,4196.52,4198.65,4196.92,4195.1,4193.9,4194.02,4195,4194.9,4194.3,4196.781
2021-04-21,4203.3,4201.5,4199.6,4197.65,4196.23,4195.98,4197.7,4197.49,4195.92,4195.4,4195.45,4196.66,4198.67,4196.88,4195.1,4193.9,4194.04,4195.1,4194.8,4194.4,4196.7885
2021-04-22,4203.3,4201.7,4199.6,4197.58,4196.35,4196.01,4197.75,4197.44,4195.92,4195.42,4195.38,4196.66,4198.68,4197,4195.16,4193.86,4193.96,4195,4194.8,4194.4,4196.7985
2021-04-23,4203.4,4201.5,4199.67,4197.65,4196.3,4196.02,4197.8,4197.55,4195.98,4195.44,4195.51,4196.6,4198.66,4196.96,4195.19,4193.89,4194.01,4195.1,4194.9,4194.4,4196.8265
2021-04-24,4203.4,4201.5,4199.65,4197.64,4196.24,4196.03,4197.75,4197.57,4196.06,4195.59,4195.41,4196.6,4198.66,4196.86,4195.02,4193.89,4194.06,4195.1,4194.9,4194.4,4196.8165
2021-04-25,4203.3,4201.5,4199.6,4197.65,4196.25,4196.08,4197.81,4197.52,4195.98,4195.56,4195.51,4196.7,4198.64,4196.84,4195.06,4193.92,4194.04,4195.2,4194.8,4194.4,4196.818
2021-04-26,4203.3,4201.5,4199.68,4197.76,4196.22,4196.08,4197.84,4197.56,4195.97,4195.6,4195.44,4196.86,4198.76,4196.82,4195.17,4194.07,4194.25,4195.2,4194.8,4194.5,4196.869
2021-04-27,4203.3,4201.4,4199.67,4197.73,4196.2,4196.06,4197.9,4197.52,4195.94,4195.5,4195.24,4196.7,4198.79,4196.81,4195.2,4194.06,4194.09,4195.5,4194.8,4194.5,4196.8455
2021-04-28,4203.4,4201.4,4199.71,4197.68,4196.18,4196.14,4198.04,4197.5,4195.92,4195.56,4195.5,4196.69,4198.65,4196.82,4195.23,4193.99,4194.07,4195.4,4194.8,4194.6,4196.864
2021-04-29,4203.4,4201.5,4199.73,4197.78,4196.29,4196.15,4197.94,4197.51,4195.94,4195.54,4195.56,4196.9,4198.64,4196.84,4195.17,4193.98,4194.1,4195.3,4194.9,4194.6,4196.8885
2021-04-30,4203.3,4201.4,4199.74,4197.68,4196.25,4196.16,4197.93,4197.52,4196.09,4195.58,4195.39,4196.83,4198.63,4196.97,4195.16,4194.06,4194.18,4195.3,4194.8,4194.6,4196.8785
