datetime,day,month,prcp-2000,prcp-2001,prcp-2002,prcp-2003,prcp-2004,prcp-2005,prcp-2006,prcp-2007,prcp-2008,prcp-2009,prcp-2010,prcp-2011,prcp-2012,prcp-2013,prcp-2014,prcp-2015,prcp-2016,prcp-2017,prcp-2018,prcp-2019,prcp-average,snow-2000,snow-2001,snow-2002,snow-2003,snow-2004,snow-2005,snow-2006,snow-2007,snow-2008,snow-2009,snow-2010,snow-2011,snow-2012,snow-2013,snow-2014,snow-2015,snow-2016,snow-2017,snow-2018,snow-2019,snow-average
2/4/2021,4,2,0,0,0,0.12,0.21,0,0.08,0,0.04,0,0,0,0,0,0.08,0.03,0.02,0.01,0,0.01,0.03,0,0,0,2.4,3.3,0,0.5,0,1.3,0,0,0,0,0,1.5,0,0.2,0,0,0,0.46
2/5/2021,5,2,0,0,0,0,0.07,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0.06,0.0085,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1.2,0.165
2/6/2021,6,2,0,0.31,0,0,0,0.07,0,0,0.04,0.01,0.04,0,0,0,0,0,0,0,0,0.33,0.04,0,2.6,0,0,0,0.9,0,0,1.1,0,0,0,0,0,0,0,0,0,0,4.1,0.435
2/7/2021,7,2,0,0.2,0,0,0.18,0.43,0,0,0,0,0,0.06,0,0,0.01,0.01,0,0,0,0.04,0.0465,0,1.8,0,0,4.9,7.6,0,0,0,0,0,0.3,0,0,0.2,0,0,0,0,1.5,0.815
2/8/2021,8,2,0,0,0.07,0,0.13,0,0,0,0,0.01,0,0.01,0.02,0.03,0.12,0,0,0,0,0,0.0195,0,0,0.7,0,2,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0.165
2/9/2021,9,2,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.09,0.2,0.11,0,0,0,0,0.0265,0,0,0,0,0,0,0,0,0,0.3,0,0,0,2,0,0,0,0,0,0,0.115
2/10/2021,10,2,0.01,0,0,0,0,0,0,0.02,0,0.11,0,0,0,0.1,0.25,0.01,0,0.48,0,0.16,0.057,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1.9,0,0,0,0,0,3,0.305
2/11/2021,11,2,0.37,0.07,0,0,0,0.1,0,0.2,0,0.01,0.12,0,0,0,0,0,0,0.28,0,0,0.0575,0,1.3,0,0,0,0,0,0,0,0.1,2.2,0,0,0,0,0,0,0,0,0.3,0.195
2/12/2021,12,2,0.24,0.01,0,0,0,0.31,0,0.07,0,0,0.01,0,0.39,0,0.01,0,0,0,0,0,0.052,0.9,0,0,0,0,0.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.085
2/13/2021,13,2,0,0.03,0,0.04,0,0,0,0,0.16,0,0.02,0,0,0,0.17,0,0,0,0,0.17,0.0295,0,0.6,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.165
2/14/2021,14,2,0.14,0.05,0,0.07,0,0.03,0,0,0.11,0.23,0,0,0,0,0,0,0.09,0,0,0.02,0.037,0,0.5,0,0,0,0,0,0,4.1,3.3,0,0,0,0,0,0,0.4,0,0,0,0.415
2/15/2021,15,2,0,0,0,0,0,0.08,0.17,0.02,0,0,0.03,0,0.07,0,0,0,0,0,0.01,0.23,0.0305,0,0,0,0,0,2.1,3.7,0.1,0,0,0,0,0.2,0,0,0,0,0,0.2,2.4,0.435
2/16/2021,16,2,0.02,0,0,0.06,0,0,0.26,0.03,0,0,0,0.25,0,0,0.01,0,0,0,0,0,0.0315,0,0,0,0,0,0.2,6,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0.495
2/17/2021,17,2,0.32,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.01,0,0.04,0.029,2.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.6,0.2
2/18/2021,18,2,0.02,0.04,0,0,0,0,0.03,0,0,0,0.03,0,0.07,0,0,0,0.31,0,0.26,0,0.038,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0.4,0,0,0,1.5,0,1,0,0.195
2/19/2021,19,2,0,0.13,0,0,0.33,0.01,0.08,0.28,0,0,0,0.22,0.2,0,0.04,0,0,0.12,0.51,0,0.096,0,0,0,0,0.5,0,2,3.5,0,0,0,0,2,0,0.2,0,0,0,6.5,0,0.735
2/20/2021,20,2,0,0,0.22,0,0,0.2,0,0,0.02,0,0,0.19,0,0.05,0,0,0,0,0.05,0,0.0365,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.6,0,0,0,0,0.9,0,0.195
2/21/2021,21,2,0.27,0,0,0,0.01,0,0,0,0.17,0,0,0,0.02,0.03,0,0.03,0,0.36,0,0.01,0.045,0,0,0,0,0.1,0,0,0,4,0,0.1,0,0,0.7,0,0,0,0,0,0.1,0.25
2/22/2021,22,2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0.1,0,0.06,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0.7,0,0.7,0.19
2/23/2021,23,2,0,0.63,0,0,0,0,0,0.37,0.06,0.01,0,0,0,0.27,0,0,0,0.08,0.22,0,0.082,0,6.2,0,0,0,0,0,3.8,0.3,0,0,0,0,6.2,0,0,0,1.8,5.5,0,1.19
2/24/2021,24,2,0.27,0,0.01,0.07,0.02,0,0,0,0.3,0.04,0.15,0,0,0,0,0,0,0.02,0,0,0.044,1.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.125
2/25/2021,25,2,0,0.02,0,0.13,0,0,0,0.24,0.13,0.05,0.08,0.1,0,0,0,0,0,0,0.01,0,0.038,0,0,0,1.4,0,0,0,1.9,0,0,0,1.2,0,0,0,0,0,0,0.1,0,0.23
2/26/2021,26,2,0,0,0,0,0.15,0,0,0,0,0,0,0.24,0,0.01,0,0.1,0,0,0,0,0.025,0,0,0,0,0.1,0,0,0,0,0,0,3.2,0,0.5,0,0,0,0,0,0,0.19
2/27/2021,27,2,0,0,0,0,0.05,0,0,0.24,0,0.02,0,0,0.02,0,0.56,0,0,0.19,0,0.02,0.055,0,0,0,0,0,0,0,2.5,0,0.7,0,0,0,0,0,0,0,3.4,0,0,0.33
2/28/2021,28,2,0.13,0.01,0,0,0.95,0,0.14,0.05,0,0,0,0,0.02,0,0.1,0.01,0,0.01,0,0.04,0.073,0,0.1,0,0,5.2,0,0,1,0,0,0,0,0.1,0,0,0,0,0.3,0.1,0,0.34
3/1/2021,1,3,0,0,0,0.09,0,0.01,0,0,0.35,0,0,0,0.16,0,0.03,0,0,0,0,0,0.032,0,0,0,1.4,0,0,0,0,1.3,0,0,0,1.8,0,0,0,0,0,0,0,0.225
3/2/2021,2,3,0,0.06,0,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0.3,0,0,0,0.3,0.038,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0.3,0,0,0,1.3,0.175
3/3/2021,3,3,0,0.21,0,0.06,0,0,0,0,0,0,0,0.1,0,0.34,0,0.18,0,0,0.05,0.06,0.05,0,1.7,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.7,0.8,0.305
3/4/2021,4,3,0,0,0,0.16,0.15,0,0,0,0,0.15,0.2,0,0,0,0.17,0,0,0,0.71,0,0.077,0,0,0,1.6,2.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7.6,0,0.6
3/5/2021,5,3,0,0,0,0.19,0.08,0,0,0,0,0.13,0.34,0,0,0,0,0,0,0.27,0,0,0.0505,0,0,0,1.6,1.5,0,0,0,0,1,2.5,0,0,0,0,0,0,3.4,0,0,0.5
3/6/2021,6,3,0.01,0,0,0,0.06,0,0,0,0,0,0,0.26,0.1,0,0.09,0,0.6,0,0,0.14,0.063,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0.085
3/7/2021,7,3,0,0,0.07,0,0,0,0.29,0,0,0,0,0.9,0,0,0,0,0.01,0,0,0.36,0.0815,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0.18
3/8/2021,8,3,0,0,0.38,0,0,0,0,0.04,0.04,0,0,0.23,0,0.02,0,0,0,0,0,0.3,0.0505,0,0,4.6,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0.6,0.38
3/9/2021,9,3,0.08,0.13,0,0,0,0,0.12,0,0,0.06,0.03,0,0,0,0,0,0.04,0,0,0.02,0.024,0.3,0,0,0,0,0,1.4,0,0,0.9,0,0,0,0,0,0,0,0,0,0.5,0.155
3/10/2021,10,3,0.09,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0075,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
3/11/2021,11,3,0,0.26,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.0155,0,0.7,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
3/12/2021,12,3,0.01,0,0.04,0,0,0,0.25,0,0,0,0,0.04,0,0,0,0.05,0,0,0,0.21,0.03,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19
3/13/2021,13,3,0,0,0.49,0,0,0,0.02,0,0.12,0,0.55,0,0,0,0,0,0,0,0,0.12,0.065,0,0,1.1,0,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,2.9,0.28
3/14/2021,14,3,0,0,0.01,0.04,0,0,0,0,0.08,0,0,0.01,0,0,0.01,0,0.24,0,0.66,0,0.0525,0,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0.06
3/15/2021,15,3,0.03,0,0,0.24,0,0,0.45,0,0.09,0,0,0,0,0,0,0,0,0,0.3,0,0.0555,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.25
3/16/2021,16,3,0,0.4,0,0.22,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0.01,0,0.049,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145
3/17/2021,17,3,0.09,0,0.76,0.01,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.059,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.445
3/18/2021,18,3,0,0,0,0,0,0.03,0.05,0,0,0,0.01,0,0.25,0,0,0,0,0,0.01,0,0.0175,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
3/19/2021,19,3,0.15,0,0,0,0,0.01,0.41,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,1.5,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.145
3/20/2021,20,3,0.19,0,0,0,0,0.49,0.04,0,0.2,0,0,0.02,0,0.03,0,0,0,0,0,0,0.0485,1.9,0,0,0,0,0,0.5,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.135
3/21/2021,21,3,0,0,0,0,0,0.01,0.01,0.12,0,0,0,0,0,0.17,0,0,0,0,0,0.21,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05
3/22/2021,22,3,0,0,0,0,0,0.07,0,0,0,0.19,0.06,0.02,0,0.1,0,0,0.53,0.19,0,0.11,0.0635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2,0,0,0,0.11
3/23/2021,23,3,0,0,0.09,0,0,0.81,0,0,0,0.23,0,0,0,0.05,0,0.13,0,1.97,0.4,0.07,0.1875,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.7,0,0,0,0.2,0,0,0.05
3/24/2021,24,3,0,0,0.48,0,0,0.21,0,0,0,0.02,0,0,0,0,0,0.05,0,0,0.01,0.44,0.0605,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
3/25/2021,25,3,0,0,0.15,0,0,0.01,0.2,0,0,0.53,0,0.25,0,0,0,0,0,0.53,0.25,0,0.096,0,0,0,0,0,0,0.5,0,0,0.1,0,1.1,0,0,0,0,0,0,1.2,0,0.145
3/26/2021,26,3,0,0,0,0.35,0.57,0,0.2,0,0,0.04,0.17,0,0,0,0.18,0,0,0,0.03,0,0.077,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0,0.05
3/27/2021,27,3,0,0,0,0.03,0.02,0,0,0.33,0.13,0,0,0.32,0,0,0.07,0,0,0.4,0,0,0.065,0,0,0,0.4,0,0,0,0.1,2.3,0,0,2,0,0,0,0,0,0,0,0,0.24
3/28/2021,28,3,0.01,0.11,0,0,0,0.45,0.17,0.49,0,0,0,0.03,0.04,0,0,0,0.47,0,0,0.85,0.131,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.4,0,0,1,0.145
3/29/2021,29,3,0,0.38,0,0,0,0.14,0.42,0,0,0.26,0,0,0.01,0,0,0,0.25,0,0,0.75,0.1105,0,0,0,0,0,0.3,0,0,0,2.9,0,0,0,0,0,0,0,0,0,3.6,0.34
3/30/2021,30,3,0.14,0,0,0,0,0.15,0,0,0.05,0.1,0,0,0,0,0.49,0,0.01,0.15,0,0,0.0545,1.9,0,0,0,0,2.2,0,0,0.3,1,0,0,0,0,0.5,0,0,0,0,0,0.295
3/31/2021,31,3,0,0,0,0,0,0,0,0,0.28,0.01,0.54,0,0,0,0.02,0,0.07,0,0,0,0.046,0,0,0,0,0,0,0,0,3.2,0,1.7,0,0,0,0,0,0,0,0,0,0.245
4/1/2021,1,4,0,0,0,0,0.02,0,0.04,0,0,0.01,0.08,0,0.05,0.44,0.16,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.3,0.9,0,0,0,0,0,0,0,0,0,0.06
4/2/2021,2,4,0,0.4,0,0,0,0,0,0,0.06,0.17,0,0.58,0,0.19,0,0,0,0.08,0.05,0.01,0.077,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.085
4/3/2021,3,4,0,0,0,0.25,0,0,0,0,0,0.3,0.05,0.37,0,0,0,0,0,0,0,0.32,0.0645,0,0,0,1.8,0,0,0,0,0,1,0.1,2.4,0,0,0,0,0,0,0,0,0.265
4/4/2021,4,4,0,0.07,0,0,0,0.32,0,0,0,0.04,0.07,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0.04
4/5/2021,5,4,0,0.16,0,0.24,0,0,0.11,0,0,0,0.22,0.13,0,0.16,0.05,0,0,0,0,0,0.0535,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0.07
4/6/2021,6,4,0,0.2,0,0.12,0.23,0,1.1,0,0,0,0.05,0,0.11,0,0,0,0,0,0.06,0.19,0.103,0,0,0,0.5,0,0,0.5,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0.13
4/7/2021,7,4,0,0.26,0,0.17,0.03,0,0,0,0.09,0,0,0.77,0,0,0,0,0,0,0.25,0,0.0785,0,0.5,0,2.1,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.215
4/8/2021,8,4,0,0.56,0,0,0.58,0.51,0,0.19,0,0.24,0,0.35,0,0.6,0,0.25,0,1.01,0.01,0,0.215,0,5.7,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0.8,0,0,0.39
4/9/2021,9,4,0,0,0,0,0,0.15,0,0.05,0.01,0.18,0,0.28,0,0,0,0,0,0.14,0,0.49,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.01
4/10/2021,10,4,0,0,0.04,0,0,0,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0.1,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/2021,11,4,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0.23,0.14,0,0,0,0,0,0,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2021,12,4,0,0.44,0,0,0,0,0,0,0,0,0.53,0.01,0.57,0,0.02,0,0.01,0,0.52,0.23,0.1165,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.205
4/13/2021,13,4,0,0,0,0,0,0,0,0,0,0,0.36,0.15,0.01,0.05,0.02,0,0.16,0,0.04,0.11,0.045,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0.025
4/14/2021,14,4,0.55,0.03,0,0.04,0,0,0.35,0,0,0.55,0,0.08,0.09,0,0,0.29,0.65,0,0,0,0.1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.015
4/15/2021,15,4,0.01,0,0.48,0.17,0,0,0.65,0,0.05,0.45,0,0,0,0.12,0,0.51,0.07,0,0,0.47,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5.5,0,0,0,0,0.28
4/16/2021,16,4,0,0,0.26,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.12,0.49,0.0445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.07
4/17/2021,17,4,0,0,0.59,0,0.1,0,0.44,0,0,0,0,0,0.4,0,0,0,0,0,0.13,0,0.083,0,0,2.6,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.24
4/18/2021,18,4,0,0,0.09,0.55,0.39,0.32,0.1,0.25,0,0,0,0.6,0.01,0,0,0,0,0.64,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/2021,19,4,0,0,0.17,0,0.08,0.54,0,0,0,0,0,0.12,0.03,0.05,0,0,0,0.02,0,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/2021,20,4,0,0.3,0.07,0,0.2,0.12,0,0,0,0,0,0.08,0,0.2,0.01,0,0,0.29,0,0.08,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/21/2021,21,4,0,0.03,0,0,0.48,0,0,0,0,0,0.4,0,0,0,0,0,0,0.06,0,0.57,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
